Date,Close/Last,Volume,Open,High,Low
08/05/2020,11091.75,347134,11080.50,11144.00,11055.75
08/04/2020,11086.00,392527,11054.00,11094.75,10983.00
08/03/2020,11044.25,386264,10933.25,11073.00,10876.25
07/31/2020,10890.50,620624,10906.50,10939.00,10691.00
07/30/2020,10794.00,517607,10700.00,10897.25,10502.75
07/29/2020,10674.25,365161,10558.00,10699.75,10512.25
07/28/2020,10540.00,440879,10682.50,10758.50,10514.00
07/27/2020,10675.25,441368,10490.00,10684.00,10401.00
07/24/2020,10459.00,647618,10565.50,10597.00,10301.00
07/23/2020,10548.25,634003,10850.00,10938.50,10514.50
07/22/2020,10804.25,481852,10850.75,10916.25,10761.25
07/21/2020,10851.00,582953,10952.25,11058.00,10784.75
07/20/2020,10951.00,491390,10621.25,10964.50,10546.25
07/17/2020,10622.50,435816,10527.25,10669.75,10523.75
07/16/2020,10511.75,610047,10693.00,10698.25,10475.50
07/15/2020,10683.25,700593,10706.00,10766.50,10551.25
07/14/2020,10646.25,908240,10577.50,10689.25,10525.50
07/13/2020,10600.00,727844,10848.25,11058.50,10561.50
07/10/2020,10837.25,521927,10727.00,10847.50,10625.50
07/09/2020,10724.00,601571,10674.25,10774.25,10560.00
07/08/2020,10662.25,474920,10526.00,10673.00,10505.25
07/07/2020,10532.25,460895,10600.00,10694.50,10505.75
07/06/2020,10598.50,411954,10347.25,10614.50,10341.50
07/02/2020,10355.75,399438,10258.50,10422.25,10246.50
07/01/2020,10268.75,397772,10141.00,10310.00,10076.00
06/30/2020,10147.25,416619,10034.00,10171.50,10019.00
06/29/2020,9973.75,474781,9785.50,9997.00,9728.75
06/26/2020,9865.50,571005,10087.00,10120.50,9824.25
06/25/2020,10088.25,509918,10005.25,10107.00,9885.50
06/24/2020,10010.75,656910,10183.00,10242.00,9927.25
06/23/2020,10196.00,404671,10121.50,10296.25,9972.25
06/22/2020,10124.75,351975,9868.00,10131.75,9843.50
06/19/2020,9923.50,511590,9985.00,10112.50,9916.00
06/18/2020,9989.50,429042,9982.25,10029.00,9866.50
06/17/2020,9983.00,404052,9951.50,10047.50,9915.25
06/16/2020,9972.50,213082,9812.50,10013.75,9797.75
06/15/2020,9800.50,317453,9536.75,9815.50,9381.75
06/12/2020,9645.00,505863,9616.00,9849.25,9494.75
06/11/2020,9616.75,820110,10086.25,10107.00,9584.50
06/10/2020,10087.25,551534,9960.00,10155.50,9958.50
06/09/2020,9951.00,435777,9887.25,10005.25,9811.50
06/08/2020,9884.75,388299,9819.00,9901.00,9747.00
06/05/2020,9808.50,506726,9643.50,9846.25,9601.75
06/04/2020,9626.25,457683,9685.50,9742.50,9572.25
06/03/2020,9684.75,370909,9657.50,9728.25,9635.50
06/02/2020,9647.75,384840,9590.00,9670.00,9504.75
06/01/2020,9595.00,342822,9513.00,9605.75,9450.25
05/29/2020,9560.25,525091,9453.50,9590.50,9372.00
05/28/2020,9460.25,505534,9436.50,9565.50,9320.50
05/27/2020,9432.50,554459,9409.00,9508.00,9172.50
05/26/2020,9406.50,481990,9530.25,9604.00,9373.00
05/22/2020,9406.25,361269,9360.50,9422.50,9241.50
05/21/2020,9355.75,427025,9494.75,9510.75,9352.00
05/20/2020,9485.50,364045,9289.75,9498.00,9273.00
05/19/2020,9300.75,391036,9316.25,9417.25,9283.75
05/18/2020,9325.50,394536,9135.00,9361.50,9110.25
05/15/2020,9096.50,531074,9085.50,9148.50,8925.50
05/14/2020,9079.50,635624,9012.75,9104.00,8847.00
05/13/2020,8992.25,699800,9045.75,9202.75,8878.25
05/12/2020,9078.25,499399,9282.00,9345.50,9040.50
05/11/2020,9279.00,395191,9194.75,9339.00,9118.50
05/08/2020,9218.25,356965,9115.00,9238.00,9103.25
05/07/2020,9107.75,381558,8947.50,9126.00,8930.25
05/06/2020,8952.00,411536,8928.50,9056.50,8877.75
05/05/2020,8924.25,365146,8806.25,9020.00,8798.50
05/04/2020,8795.50,377912,8624.00,8828.00,8556.25
05/01/2020,8718.00,405955,8847.00,8879.00,8672.00
04/30/2020,8988.50,459944,9109.50,9144.75,8856.50
04/29/2020,9036.50,425834,8759.25,9118.75,8733.75
04/28/2020,8719.75,437441,8819.00,8945.75,8654.50
04/27/2020,8824.25,351220,8766.00,8898.00,8730.00
04/24/2020,8769.00,376992,8588.25,8780.25,8498.25
04/23/2020,8598.75,433386,8636.25,8786.50,8580.50
04/22/2020,8638.00,370193,8447.00,8700.00,8400.00
04/21/2020,8431.75,577115,8695.00,8763.00,8342.00
